DEPARTAMENTO,MUNICIPIO,COMPAÑÍA OPERADORA,CONTRATO,CAMPO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE
CASANARE,AGUAZUL,CEPSA COLOMBIA S.A. - CEPCOLSA,EL PORTON,CURIARA,0,0,0,0,126,0,0,0,0,0,0,0
CASANARE,AGUAZUL,ECOPETROL LLANOS,ECOP-SDLA-OP-DIRECTA,CUPIAGUA SUR,227679,228276,220269,231389,232587,238817,225728,224401,212591,184503,220377,210760
CASANARE,AGUAZUL,ECOPETROL LLANOS,ECOP-SDLA-OP-DIRECTA,CUPIAGUA,648920,660384,521067,612974,485347,653449,635265,663195,646683,698128,530185,545052
CASANARE,AGUAZUL,EQUION ENERGIA LIMITED,CUSIANA NORTE,CUSIANA NORTE,329909,341831,306103,74696,330090,313463,332151,339037,313247,253861,287577,244607
CASANARE,AGUAZUL,EQUION ENERGIA LIMITED,RECETOR EQUION,CUPIAGUA LIRIA,141994,147751,147616,133848,121523,163892,185249,160857,142411,158308,159115,159321
CASANARE,AGUAZUL,EQUION ENERGIA LIMITED,RECETOR EQUION,PAUTO SUR RECETOR,20630,21593,21315,20509,15489,20594,21504,21285,20637,19999,19870,18897
CASANARE,AGUAZUL,PAREX RESOURCES COLOMBIA LTD,EL EDEN PAREX,LA CASONA,0,1234,576,0,0,0,0,0,0,0,0,2334
CASANARE,AGUAZUL,PERENCO COLOMBIA LIMITED,CASANARE,LA GLORIA,976,926,868,975,986,1020,1020,965,891,790,391,645
CASANARE,MANI,ECOPETROL,UPIA-ECOPETROL,SANTIAGO,160,143,151,140,139,129,124,117,118,115,118,120
CASANARE,MANI,ECOPETROL D. SUR,LA PUNTA - CDND/I,LA PUNTA,467,451,423,420,380,448,474,545,514,493,489,441
CASANARE,MANI,EMERALD ENERGY  DE COLOMBIA PLC,CAMPO RICO,CAMPO RICO,11,11,11,10,9,9,10,10,10,10,10,9
CASANARE,MANI,EMERALD ENERGY  DE COLOMBIA PLC,CAMPO RICO,CENTAURO SUR,10,10,10,7,6,6,6,6,6,5,5,5
CASANARE,MANI,P1 ENERGY DELTA CORP. SUCURSAL COLOMBIA,E&P LLANOS 32,BANDOLA,0,0,0,130,243,469,550,286,331,206,244,378
CASANARE,MANI,P1 ENERGY DELTA CORP. SUCURSAL COLOMBIA,E&P LLANOS 32,MANICEÑO,769,674,544,452,399,270,244,231,118,87,91,104
CASANARE,MANI,PERENCO COLOMBIA LIMITED,CASANARE,LA GLORIA,831,757,758,687,651,523,770,777,788,1174,1366,1213
CASANARE,MONTEREY,PERENCO COLOMBIA LIMITED,E&P EL BALAY,BALAY,220,367,235,157,113,91,131,113,83,60,71,110
CASANARE,MONTEREY,PETROMINERALES COLOMBIA LTD,CANAGUARO E&P-016 del 2006,CANAGUARO,123,112,164,170,145,106,0,0,9,0,0,0
CASANARE,MUNICIPIO NN CASANARE,PERENCO COLOMBIA LIMITED,CASANARE,BARQUEREÑA,3,1,1,1,1,1,1,1,1,1,1,1
CASANARE,NUNCHIA,EQUION ENERGIA LIMITED,NISCOTA,HURON,0,0,299,2700,3782,4266,0,0,0,0,0,0
