Departamento,Operadora,Municipio,Contrato,Campo,ENERO,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
BOYACA,MANSAROVAR ENERGY COLOMBIA LTD,PUERTO BOYACA,NARE ASOCIACION,UNDERRIVER,0.21,0.19,0.21,0.33,0.37,0.18,0.17,0.16,0.18,0.18,0.18,0
BOYACA,NIKOIL ENERGY CORP. SUC. COLOMBIA,SAN LUIS DE GACENO,CONDOR,MEDINA,0,1.48,2.53,1.5,0.06,0,0,0,0,0,0,0
BOYACA,UNION TEMPORAL OMEGA ENERGY,CORRALES,BUENAVISTA,CORRALES,4.31,4.4,6.38,7.78,7.54,7.45,7.27,7.2,6.97,6.82,7.33,8.15
BOYACA,UNION TEMPORAL OMEGA ENERGY,TOPAGA,BUENAVISTA,BOLIVAR,0,0,0,0,0,0,0,0,0,0,0,0
CASANARE,Canacol Energy Colombia S.A.,OROCUE,E&P LLANOS 23,LABRADOR,0.38,0.25,0.19,0.21,0.2,0.2,0.19,0.15,0.14,0.14,0.15,0.15
CASANARE,Canacol Energy Colombia S.A.,OROCUE,RANCHO HERMOSO ACUERDO PART CASANARE-CANACOL,RANCHO HERMOSO 4,0.69,0.61,0.49,0.41,0.36,0.34,0.33,0.32,0.23,0.23,0.12,0.02
CASANARE,Canacol Energy Colombia S.A.,SAN LUIS DE PALENQUE,E&P LLANOS 23,LEONO,0.01,0.01,0.06,0.09,0.09,0.07,0.06,0.06,0.06,0.07,0.07,0.06
CASANARE,Canacol Energy Colombia S.A.,YOPAL,RANCHO HERMOSO ACUERDO PART CASANARE-CANACOL,RANCHO HERMOSO 4,0.43,0.38,0.37,0.33,0.3,0.29,0.28,0.28,0.28,0.26,0.29,0.08
CASANARE,CEPSA COLOMBIA S.A. - CEPCOLSA,AGUAZUL,E&P LLANOS 22,RAMIRIQUI,1.55,1.96,2.07,2.25,2.23,2.19,1.99,2.19,2.24,2.27,2.23,2.22
CASANARE,CEPSA COLOMBIA S.A. - CEPCOLSA,AGUAZUL,EL PORTON,CURIARA,0,0,0,1.33,1.63,1.91,2.52,2.95,0.63,0,0,0
CASANARE,COLOMBIA ENERGY DEVELOPMENT,YOPAL,CEE RIO VERDE,TILODIRAN,0.43,0.43,0.41,0.4,0.33,0.32,0.31,0.3,0.29,0.3,0.32,0.28
CASANARE,ECOPETROL,MANI,UPIA-ECOPETROL,SANTIAGO,0.1,0.09,0.07,0.09,0.08,0.09,0.11,0.08,0.08,0.08,0.11,0.12
CASANARE,ECOPETROL D. SUR,MANI,LA PUNTA - CDND/I,LA PUNTA,0,0,0,0,0,0,0,0.11,0.11,0.11,0.09,0.08
CASANARE,ECOPETROL LLANOS,AGUAZUL,ECOP-SDLA-OP-DIRECTA,CUPIAGUA,507.14,498.96,484.67,421.36,464.93,453.63,528.7,424.99,442.66,501.45,426.06,506.65
CASANARE,ECOPETROL LLANOS,AGUAZUL,ECOP-SDLA-OP-DIRECTA,CUPIAGUA SUR,213.82,228.43,225.74,227.54,149.98,232.97,166.97,229.89,233.97,159.67,228.91,159.35
CASANARE,ECOPETROL LLANOS,AGUAZUL,ECOP-SDLA-OP-DIRECTA-INCREMENTAL,CUPIAGUA,124.39,139.15,141.72,139.14,155.75,158.46,156.74,166.81,158,160.58,155.09,147.97
SANTANDER,Amerisur Exploración Colombia,RIONEGRO,E&P FENIX,FENIX,0.01,0,0,0,0,0,0,0,0,0,0,0
CASANARE,ECOPETROL LLANOS,TAURAMENA,ECOP-SDLA-OP-DIRECTA,CUPIAGUA SUR,0,0,0,0,86.57,0,0,0,0,0,0,0
CASANARE,EMERALD ENERGY  DE COLOMBIA PLC,MANI,CAMPO RICO,CAMPO RICO,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
CASANARE,EMERALD ENERGY  DE COLOMBIA PLC,MANI,CAMPO RICO,CENTAURO SUR,0,0,0,0,0,0,0,0,0,0,0,0
CASANARE,EMERALD ENERGY  DE COLOMBIA PLC,OROCUE,CAMPO RICO,VIGIA SUR,0.01,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
CASANARE,EMERALD ENERGY  DE COLOMBIA PLC,YOPAL,CAMPO RICO,LAS ACACIAS,0,0,0,0,0,0,0,0,0,0,0,0
CASANARE,EMERALD ENERGY  DE COLOMBIA PLC,YOPAL,CAMPO RICO,LOS POTROS,0,0,0,0,0,0,0,0,0,0,0.01,0.01
CASANARE,EMERALD ENERGY  DE COLOMBIA PLC,YOPAL,CAMPO RICO,VIGIA,0.02,0.02,0.02,0.02,0.02,0.06,0.07,0.06,0.05,0.07,0.1,0.19
CASANARE,EQUION ENERGIA LIMITED,AGUAZUL,CUSIANA NORTE,CUSIANA NORTE,268.9,281.36,274.39,228.59,226.78,208.15,210.65,210.56,202.18,198.45,180.61,177.63
